col1    col2    col3    col4    col5
Пт        08:20-09:50\n2 4 6 8 12 14 16        2308\n(бывш.\n306) ауд.\nКронверкский\nпр. д.49\nлит.А        Программирование(Лаб)\nчетная неделя\nЧагина Инна Николаевна        Очно - дистанционный       
        08:20-09:50\n3 5 7 9 11 13 15 17        2306/2\n(бывш.\n305) ауд.\nКронверкский\nпр. д.49\nлит.А        Основы профессиональной\nдеятельности(Лаб)\nнечетная неделя\nРайла Мартин        Очно - дистанционный       
        10:00-11:30\n2 4 6 8 12 14 16        2308\n(бывш.\n306) ауд.\nКронверкский\nпр. д.49\nлит.А        Программирование(Лаб)\nчетная неделя\nЧагина Инна Николаевна        Очно - дистанционный       
        10:00-11:30\n3 5 7 9 11 13 15 17        2306/2\n(бывш.\n305) ауд.\nКронверкский\nпр. д.49\nлит.А        Основы профессиональной\nдеятельности(Лаб)\nнечетная неделя\nРайла Мартин        Очно - дистанционный       
